id	kind	label	piece_hex	visible_piece
28929	piece	piece_28929	e6b6bc	涼
28930	piece	piece_28930	e6b7a8	淨
28931	piece	piece_28931	e6b7b3	淳
28932	piece	piece_28932	e6b7bc	淼
28933	piece	piece_28933	e6b89a	渚
28934	piece	piece_28934	e6b8ad	渭
28935	piece	piece_28935	e6b9a7	湧
28936	piece	piece_28936	e6bb87	滇
28937	piece	piece_28937	e6bb8b	滋
28938	piece	piece_28938	e6bb9a	滚
28939	piece	piece_28939	e6bc81	漁
28940	piece	piece_28940	e6bcb8	漸
28941	piece	piece_28941	e6bd94	潔
28942	piece	piece_28942	e6bdb5	潵
28943	piece	piece_28943	e6bf95	濕
28944	piece	piece_28944	e7828a	炊
28945	piece	piece_28945	e785a9	煩
28946	piece	piece_28946	e785ae	煮
28947	piece	piece_28947	e787a5	燥
28948	piece	piece_28948	e788b7	爷
28949	piece	piece_28949	e788ba	爺
28950	piece	piece_28950	e7899f	牟
28951	piece	piece_28951	e789a2	牢
28952	piece	piece_28952	e78a81	犁
28953	piece	piece_28953	e78bad	狭
28954	piece	piece_28954	e78bae	狮
28955	piece	piece_28955	e78bb9	狹
28956	piece	piece_28956	e78db2	獲
28957	piece	piece_28957	e78eab	玫
28958	piece	piece_28958	e790a6	琦
28959	piece	piece_28959	e7919c	瑜
28960	piece	piece_28960	e79283	璃
28961	piece	piece_28961	e793a9	瓩
28962	piece	piece_28962	e793b7	瓷
28963	piece	piece_28963	e795b3	畳
28964	piece	piece_28964	e795b4	畴
28965	piece	piece_28965	e7968a	疊
28966	piece	piece_28966	e796ab	疫
28967	piece	piece_28967	e796b2	疲
28968	piece	piece_28968	e796bc	疼
28969	piece	piece_28969	e79789	痉
28970	piece	piece_28970	e798a6	瘦
28971	piece	piece_28971	e7998c	癌
28972	piece	piece_28972	e799b8	癸
28973	piece	piece_28973	e79a86	皆
28974	piece	piece_28974	e79ab1	皱
28975	piece	piece_28975	e79b97	盗
28976	piece	piece_28976	e79b9f	盟
28977	piece	piece_28977	e79ba1	盡
28978	piece	piece_28978	e79ba7	盧
28979	piece	piece_28979	e79bbc	盼
28980	piece	piece_28980	e7a096	砖
28981	piece	piece_28981	e7a18f	硏
28982	piece	piece_28982	e7a1ac	硬
28983	piece	piece_28983	e7a2a9	碩
28984	piece	piece_28984	e7a381	磁
28985	piece	piece_28985	e7a385	磅
28986	piece	piece_28986	e7a499	礙
28987	piece	piece_28987	e7a582	祂
28988	piece	piece_28988	e7a595	祕
28989	piece	piece_28989	e7a59f	祟
